iter	Passed	Remaining
0	60	17968
1	63	9437
2	66	6587
3	70	5217
4	73	4360
5	78	3827
6	81	3402
7	84	3085
8	87	2828
9	90	2621
10	93	2454
11	96	2314
12	99	2195
13	102	2091
14	105	2001
15	108	1926
16	111	1860
17	115	1806
18	118	1746
19	120	1692
20	123	1645
21	127	1604
22	130	1572
23	133	1534
24	136	1499
25	139	1468
26	142	1439
27	145	1412
28	148	1386
29	151	1363
30	154	1342
31	157	1321
32	160	1300
33	164	1287
34	167	1270
35	171	1256
36	174	1239
37	177	1226
38	180	1209
39	183	1194
40	187	1183
41	189	1166
42	193	1155
43	196	1141
44	199	1128
45	202	1116
46	205	1103
47	208	1092
48	211	1081
49	213	1069
50	216	1059
51	219	1048
52	222	1037
53	225	1028
54	228	1018
55	232	1011
56	235	1003
57	238	993
58	241	984
59	243	975
60	246	966
61	249	958
62	252	950
63	255	942
64	258	934
65	261	926
66	264	918
67	267	911
68	270	904
69	273	898
70	277	893
71	280	887
72	283	880
73	286	874
74	288	866
75	292	861
76	295	855
77	298	849
78	301	842
79	304	836
80	306	829
81	309	824
82	312	818
83	315	812
84	318	806
85	321	800
86	324	795
87	328	791
88	331	785
89	334	780
90	337	775
91	340	770
92	343	765
93	347	760
94	350	755
95	353	750
96	356	745
97	359	741
98	363	737
99	366	733
100	369	727
101	372	722
102	375	717
103	378	712
104	381	708
105	384	703
106	387	698
107	390	693
108	392	688
109	395	683
110	398	678
111	401	673
112	404	669
113	407	664
114	409	659
115	413	655
116	416	651
117	419	647
118	422	642
119	425	637
120	428	633
121	431	629
122	433	624
123	436	619
124	439	615
125	442	610
126	444	606
127	447	601
128	450	597
129	454	593
130	456	589
131	460	585
132	463	581
133	465	577
134	468	572
135	471	568
136	474	564
137	477	560
138	481	557
139	484	553
140	486	548
141	489	544
142	492	540
143	495	536
144	498	532
145	501	528
146	504	524
147	507	520
148	509	516
149	512	512
150	515	508
151	518	504
152	520	500
153	523	496
154	526	492
155	529	488
156	532	484
157	535	481
158	538	477
159	540	473
160	543	469
161	546	465
162	549	462
163	552	458
164	555	454
165	558	450
166	561	447
167	564	443
168	567	440
169	570	436
170	573	432
171	576	429
172	579	425
173	582	422
174	585	418
175	588	414
176	591	411
177	595	407
178	598	404
179	601	401
180	604	397
181	607	393
182	610	390
183	613	386
184	616	383
185	619	379
186	622	376
187	625	372
188	628	369
189	631	365
190	634	362
191	637	358
192	640	355
193	643	351
194	646	348
195	649	344
196	652	341
197	656	337
198	658	334
199	662	331
200	664	327
201	667	324
202	670	320
203	673	317
204	676	313
205	679	310
206	682	306
207	685	303
208	689	300
209	692	296
210	695	293
211	698	289
212	701	286
213	704	283
214	707	279
215	710	276
216	713	272
217	716	269
218	719	266
219	722	262
220	725	259
221	728	256
222	731	252
223	734	249
224	737	245
225	740	242
226	744	239
227	747	236
228	750	232
229	753	229
230	756	225
231	758	222
232	761	218
233	764	215
234	766	212
235	769	208
236	772	205
237	775	202
238	778	198
239	781	195
240	784	192
241	787	188
242	789	185
243	792	181
244	795	178
245	797	175
246	800	171
247	803	168
248	806	165
249	808	161
250	811	158
251	814	155
252	817	151
253	819	148
254	822	145
255	825	141
256	828	138
257	831	135
258	834	132
259	836	128
260	839	125
261	842	122
262	845	118
263	848	115
264	850	112
265	853	109
266	856	105
267	859	102
268	862	99
269	865	96
270	867	92
271	870	89
272	873	86
273	876	83
274	878	79
275	882	76
276	885	73
277	888	70
278	890	67
279	893	63
280	896	60
281	899	57
282	902	54
283	905	50
284	907	47
285	910	44
286	913	41
287	916	38
288	919	34
289	922	31
290	924	28
291	927	25
292	930	22
293	933	19
294	935	15
295	938	12
296	941	9
297	944	6
298	947	3
299	949	0
